;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
18;"bantu klik link tokopedia ini ya, yg mau di klik boleh rep/dm.

https://t.co/LuRBDyuCUR
https://t.co/nV0jDjqWpI

Va… https://t.co/qd3OWt5t63";0;bantu klik link tokopedia ini ya yg mau di klik boleh rep dm colurbdyucur conv0jdjqwpi va coqd3owt5t63;['bantu', 'klik', 'link', 'tokopedia', 'ini', 'ya', 'yg', 'mau', 'di', 'klik', 'boleh', 'rep', 'dm', 'colurbdyucur', 'conv0jdjqwpi', 'va', 'coqd3owt5t63'];['bantu', 'klik', 'link', 'tokopedia', 'ini', 'iya', 'yang', 'mau', 'di', 'klik', 'boleh', 'rep', 'dm', 'colurbdyucur', 'conv0jdjqwpi', 'va', 'coqd3owt5t63'];bantu klik link tokopedia ini iya yang mau di klik boleh rep dm colurbdyucur conv0jdjqwpi va coqd3owt5t63;bantu klik link tokopedia iya mau klik rep dm colurbdyucur conv0jdjqwpi va coqd3owt5t63
19;Halo min @IndosatCare , tadi saya beli paket Freedom internet 18GB lewat tokopedia. Kuota utama sama nelponnya masu… https://t.co/2rxUfeY97R;0;halo min user tadi saya beli paket freedom internet 1 8 gb lewat tokopedia kuota utama sama nelponnya masu co2rxufey97r;['halo', 'min', 'user', 'tadi', 'saya', 'beli', 'paket', 'freedom', 'internet', '1', '8', 'gb', 'lewat', 'tokopedia', 'kuota', 'utama', 'sama', 'nelponnya', 'masu', 'co2rxufey97r'];['halo', 'min', 'user', 'tadi', 'saya', 'beli', 'paket', 'freedom', 'internet', '1', '8', 'gb', 'lewat', 'tokopedia', 'kuota', 'utama', 'sama', 'nelponnya', 'masu', 'co2rxufey97r'];halo min user tadi saya beli paket freedom internet 1 8 gb lewat tokopedia kuota utama sama nelponnya masu co2rxufey97r;halo min user tadi beli paket freedom internet 1 8 gb lewat tokopedia kuota utama sama nelponnya masu co2rxufey97r
20;"1. Universitas Bina Nusantara

Binus menjadi kampus swasta nomor 1 di Indonesia. 
Kampus ini unggul dalam teknologi… https://t.co/fz7ZnQOwDu";0;number universitas bina nusantara binus menjadi kampus swasta nomor number di indonesia kampus ini unggul dalam teknologi cofz7znqowdu;['number', 'universitas', 'bina', 'nusantara', 'binus', 'menjadi', 'kampus', 'swasta', 'nomor', 'number', 'di', 'indonesia', 'kampus', 'ini', 'unggul', 'dalam', 'teknologi', 'cofz7znqowdu'];['number', 'universitas', 'bina', 'nusantara', 'binus', 'menjadi', 'kampus', 'swasta', 'nomor', 'number', 'di', 'indonesia', 'kampus', 'ini', 'unggul', 'dalam', 'teknologi', 'cofz7znqowdu'];number universitas bina nusantara binus menjadi kampus swasta nomor number di indonesia kampus ini unggul dalam teknologi cofz7znqowdu;number universitas bina nusantara bus jadi kampus swasta nomor number indonesia kampus unggul teknologi cofz7znqowdu
21;"@semanticloop Ini kah?
https://t.co/y6M4boCD13 image";0;user ini kah coy6m4bocd13 image;['user', 'ini', 'kah', 'coy6m4bocd13', 'image'];['user', 'ini', 'kah', 'coy6m4bocd13', 'image'];user ini kah coy6m4bocd13 image;user kah coy6m4bocd13 image
22;Pengen tau deh,kalau versi bunda ngebersihin kamar dari debu gimana ya ? versi aku sih vacuum cleaner sama air puri… https://t.co/F1ryRCcobU;-1;pengen tau deh kalau versi bunda ngebersihin kamar dari debu gimana ya versi aku sih vacuum cleaner sama air puri cof1ryrccobu;['pengen', 'tau', 'deh', 'kalau', 'versi', 'bunda', 'ngebersihin', 'kamar', 'dari', 'debu', 'gimana', 'ya', 'versi', 'aku', 'sih', 'vacuum', 'cleaner', 'sama', 'air', 'puri', 'cof1ryrccobu'];['ingin', 'tau', 'deh', 'kalau', 'versi', 'bunda', 'ngebersihin', 'kamar', 'dari', 'debu', 'bagaimana', 'iya', 'versi', 'aku', 'sih', 'vacuum', 'cleaner', 'sama', 'air', 'puri', 'cof1ryrccobu'];ingin tau deh kalau versi bunda ngebersihin kamar dari debu bagaimana iya versi aku sih vacuum cleaner sama air puri cof1ryrccobu;tau deh kalau versi bunda ngebersihin kamar debu bagaimana iya versi aku sih vacuum cleaner sama air puri cof1ryrccobu
23;Lah ini kenapa dibalikin -_- ? @tokopedia https://t.co/LmIXxSUg2I;0;lah ini kenapa dibalikin _ user colmixxsug2i;['lah', 'ini', 'kenapa', 'dibalikin', '_', 'user', 'colmixxsug2i'];['lah', 'ini', 'kenapa', 'dibalikin', '_', 'user', 'colmixxsug2i'];lah ini kenapa dibalikin _ user colmixxsug2i;lah kenapa dibalikin user colmixxsug2i
24;"@Futsuri1 Buat yng mau lapor itu ke link produknya, scroll paling bwh klik laporkan
Next stepnya silakan di ikuti a… https://t.co/JTqUGJVaXL";0;user buat yng mau lapor itu ke link produknya scroll paling bwh klik laporkan next stepnya silakan di ikuti cojtqugjvaxl;['user', 'buat', 'yng', 'mau', 'lapor', 'itu', 'ke', 'link', 'produknya', 'scroll', 'paling', 'bwh', 'klik', 'laporkan', 'next', 'stepnya', 'silakan', 'di', 'ikuti', 'cojtqugjvaxl'];['user', 'buat', 'yang', 'mau', 'lapor', 'itu', 'ke', 'link', 'produknya', 'scroll', 'paling', 'bwh', 'klik', 'laporkan', 'next', 'stepnya', 'silakan', 'di', 'ikuti', 'cojtqugjvaxl'];user buat yang mau lapor itu ke link produknya scroll paling bwh klik laporkan next stepnya silakan di ikuti cojtqugjvaxl;user buat mau lapor ke link produk scroll paling bwh klik lapor next step sila ikut cojtqugjvaxl
25;@tokopedia l taewon apaan sih;0;user taewon apaan sih;['user', 'taewon', 'apaan', 'sih'];['user', 'taewon', 'apaan', 'sih'];user taewon apaan sih;user taewon apa sih
26;"@JapanMerchFess Monggo nder mikey siap kirim, dom jogja yaa
🍊  https://t.co/QifAoUMQG8
🍏 https://t.co/c0NS7HRV05 https://t.co/PT8G0ZMlPl";0;user monggo nder mikey siap kirim dom jogja yaa coqifaoumqg8 coc0ns7hrv05 copt8g0zmlpl;['user', 'monggo', 'nder', 'mikey', 'siap', 'kirim', 'dom', 'jogja', 'yaa', 'coqifaoumqg8', 'coc0ns7hrv05', 'copt8g0zmlpl'];['user', 'monggo', 'nder', 'mikey', 'siap', 'kirim', 'dom', 'jogja', 'iya', 'coqifaoumqg8', 'coc0ns7hrv05', 'copt8g0zmlpl'];user monggo nder mikey siap kirim dom jogja iya coqifaoumqg8 coc0ns7hrv05 copt8g0zmlpl;user monggo nder mikey siap kirim dom jogja iya coqifaoumqg8 coc0ns7hrv05 copt8g0zmlpl
27;"RT @jayparkgf9: 🌷 rekomendasi sling bag wanita 🌷

1. https://t.co/a6zK56bKkp
2. https://t.co/fIAaQI04O1
3. https://t.co/vhsW91BMMN
4. https…";0;rt user rekomendasi sling bag wanita number coa6zk56bkkp number cofiaaqi04o1 number covhsw91bmmn number https;['rt', 'user', 'rekomendasi', 'sling', 'bag', 'wanita', 'number', 'coa6zk56bkkp', 'number', 'cofiaaqi04o1', 'number', 'covhsw91bmmn', 'number', 'https'];['rt', 'user', 'rekomendasi', 'sling', 'bag', 'wanita', 'number', 'coa6zk56bkkp', 'number', 'cofiaaqi04o1', 'number', 'covhsw91bmmn', 'number', 'https'];rt user rekomendasi sling bag wanita number coa6zk56bkkp number cofiaaqi04o1 number covhsw91bmmn number https;rt user rekomendasi sling bag wanita number coa6zk56bkkp number cofiaaqi04o1 number covhsw91bmmn number https
28;jual #Chloskin di #tokopedia https://t.co/67ta4KqcJM;0;jual hashtag chloskin hashtag di hashtag tokopedia hashtag co67ta4kqcjm;['jual', 'hashtag', 'chloskin', 'hashtag', 'di', 'hashtag', 'tokopedia', 'hashtag', 'co67ta4kqcjm'];['jual', 'hashtag', 'chloskin', 'hashtag', 'di', 'hashtag', 'tokopedia', 'hashtag', 'co67ta4kqcjm'];jual hashtag chloskin hashtag di hashtag tokopedia hashtag co67ta4kqcjm;jual hashtag chloskin hashtag hashtag tokopedia hashtag co67ta4kqcjm
29;@utpudah Aduh maaf baru baca. Kalau sekarang sudah bubar 😰. Tapi masih bisa didapat di https://t.co/vitus3zy3e;0;user aduh maaf baru baca kalau sekarang sudah bubar tapi masih bisa didapat di covitus3zy3e;['user', 'aduh', 'maaf', 'baru', 'baca', 'kalau', 'sekarang', 'sudah', 'bubar', 'tapi', 'masih', 'bisa', 'didapat', 'di', 'covitus3zy3e'];['user', 'aduh', 'maaf', 'baru', 'baca', 'kalau', 'sekarang', 'sudah', 'bubar', 'tapi', 'masih', 'bisa', 'didapat', 'di', 'covitus3zy3e'];user aduh maaf baru baca kalau sekarang sudah bubar tapi masih bisa didapat di covitus3zy3e;user aduh maaf baru baca kalau sekarang bubar masih dapat covitus3zy3e
30;"RT @loveparadiise: WANT TO BUY / WTB !!

bts tokopedia postcard ot7 
(PREFER seller yang ada ot7)
drop wangdom di dm
goodcond redi kmr bs o…";0;rt user want to buy wtb bts tokopedia postcard ot7 prefer seller yang ada ot7 drop wangdom di dm goodcond redi kmr bs;['rt', 'user', 'want', 'to', 'buy', 'wtb', 'bts', 'tokopedia', 'postcard', 'ot7', 'prefer', 'seller', 'yang', 'ada', 'ot7', 'drop', 'wangdom', 'di', 'dm', 'goodcond', 'redi', 'kmr', 'bs'];['rt', 'user', 'want', 'to', 'buy', 'wtb', 'bts', 'tokopedia', 'postcard', 'ot7', 'prefer', 'seller', 'yang', 'ada', 'ot7', 'drop', 'wangdom', 'di', 'dm', 'goodcond', 'redi', 'kmr', 'bisa'];rt user want to buy wtb bts tokopedia postcard ot7 prefer seller yang ada ot7 drop wangdom di dm goodcond redi kmr bisa;rt user want to buy wtb bts tokopedia postcard ot7 prefer seller ada ot7 drop wangdom dm goodcond redi kmr
31;"Totebag Kanvas Dibawah 20 Ribuan Check ✅

klik link dibawah ini ya✨
1. https://t.co/MNr8ULMRkR
2.… https://t.co/dB3DyIU1fo";0;totebag kanvas dibawah number ribuan check klik link dibawah ini ya number comnr8ulmrkr number codb3dyiu1fo;['totebag', 'kanvas', 'dibawah', 'number', 'ribuan', 'check', 'klik', 'link', 'dibawah', 'ini', 'ya', 'number', 'comnr8ulmrkr', 'number', 'codb3dyiu1fo'];['totebag', 'kanvas', 'dibawah', 'number', 'ribuan', 'check', 'klik', 'link', 'dibawah', 'ini', 'iya', 'number', 'comnr8ulmrkr', 'number', 'codb3dyiu1fo'];totebag kanvas dibawah number ribuan check klik link dibawah ini iya number comnr8ulmrkr number codb3dyiu1fo;totebag kanvas bawah number ribu check klik link bawah iya number comnr8ulmrkr number codb3dyiu1fo
32;https://t.co/gEMk2MMwk5 https://t.co/lhEmhYg8Wf Cocok untuk lokasi atm bank dki jakarta timur;0;cogemk2mmwk5 colhemhyg8wf cocok untuk lokasi atm bank dki jakarta timur;['cogemk2mmwk5', 'colhemhyg8wf', 'cocok', 'untuk', 'lokasi', 'atm', 'bank', 'dki', 'jakarta', 'timur'];['cogemk2mmwk5', 'colhemhyg8wf', 'cocok', 'untuk', 'lokasi', 'atm', 'bank', 'dki', 'jakarta', 'timur'];cogemk2mmwk5 colhemhyg8wf cocok untuk lokasi atm bank dki jakarta timur;cogemk2mmwk5 colhemhyg8wf cocok lokasi atm bank dki jakarta timur
33;https://t.co/9uB8DiPvV6 Cek alamat toko napoleon medan;0;co9ub8dipvv6 cek alamat toko napoleon medan;['co9ub8dipvv6', 'cek', 'alamat', 'toko', 'napoleon', 'medan'];['co9ub8dipvv6', 'cek', 'alamat', 'toko', 'napoleon', 'medan'];co9ub8dipvv6 cek alamat toko napoleon medan;co9ub8dipvv6 cek alamat toko napoleon medan
34;"@verysuscat @literarybase Beli di tokopedia kak.. keywordnya rak 7 susun..
Coba cek ini, deh: ""Rak Lemari Buku 7 Su… https://t.co/FqunNbUEZz";0;user user beli di tokopedia kak keywordnya rak number susun coba cek ini deh rak lemari buku number su cofqunnbuezz;['user', 'user', 'beli', 'di', 'tokopedia', 'kak', 'keywordnya', 'rak', 'number', 'susun', 'coba', 'cek', 'ini', 'deh', 'rak', 'lemari', 'buku', 'number', 'su', 'cofqunnbuezz'];['user', 'user', 'beli', 'di', 'tokopedia', 'kak', 'keywordnya', 'rak', 'number', 'susun', 'coba', 'cek', 'ini', 'deh', 'rak', 'lemari', 'buku', 'number', 'su', 'cofqunnbuezz'];user user beli di tokopedia kak keywordnya rak number susun coba cek ini deh rak lemari buku number su cofqunnbuezz;user user beli tokopedia kak keywordnya rak number susun coba cek deh rak lemari buku number su cofqunnbuezz
35;"@saturncoff @grntgina @worksfess di ofc topednya ada kak
https://t.co/5C7Vnpw2fc

di Shopee nya juga ada kak
https://t.co/l0iinGl5Jv";0;user user user di ofc topednya ada kak co5c7vnpw2fc di shopee nya juga ada kak col0iingl5jv;['user', 'user', 'user', 'di', 'ofc', 'topednya', 'ada', 'kak', 'co5c7vnpw2fc', 'di', 'shopee', 'nya', 'juga', 'ada', 'kak', 'col0iingl5jv'];['user', 'user', 'user', 'di', 'ofc', 'topednya', 'ada', 'kak', 'co5c7vnpw2fc', 'di', 'shopee', 'nya', 'juga', 'ada', 'kak', 'col0iingl5jv'];user user user di ofc topednya ada kak co5c7vnpw2fc di shopee nya juga ada kak col0iingl5jv;user user user ofc topednya kak co5c7vnpw2fc shopee nya ada kak col0iingl5jv
36;"@DokterTifa Bu kalau jarinya pengen olahraga mending ngupas kuaci aja bu jangan malah buka handphone 🥲

https://t.co/pu7nObm1IG";0;user bu kalau jarinya pengen olahraga mending ngupas kuaci aja bu jangan malah buka handphone copu7nobm1ig;['user', 'bu', 'kalau', 'jarinya', 'pengen', 'olahraga', 'mending', 'ngupas', 'kuaci', 'aja', 'bu', 'jangan', 'malah', 'buka', 'handphone', 'copu7nobm1ig'];['user', 'bu', 'kalau', 'jarinya', 'ingin', 'olahraga', 'baiknya', 'ngupas', 'kuaci', 'saja', 'bu', 'jangan', 'malah', 'buka', 'handphone', 'copu7nobm1ig'];user bu kalau jarinya ingin olahraga baiknya ngupas kuaci saja bu jangan malah buka handphone copu7nobm1ig;user bu kalau jari olahraga baik ngupas kuaci bu jangan malah buka handphone copu7nobm1ig
